1, 9384, Tempo, 1333333
1, 9408, Tempo, 1304347
1, 9432, Tempo, 1250000
1, 9480, Tempo, 1304347
1, 9504, Tempo, 1276595
1, 9528, Tempo, 1250000
1, 9576, Tempo, 1304347
1, 9600, Tempo, 1276595
1, 9624, Tempo, 1250000
1, 9672, Tempo, 1304347
1, 9696, Tempo, 1276595
1, 9720, Tempo, 1250000
1, 9768, Tempo, 1304347
1, 9792, Tempo, 1276595
1, 9816, Tempo, 1250000
1, 9864, Tempo, 1304347
1, 9876, Tempo, 1333333
1, 9888, Tempo, 1304347
1, 9912, Tempo, 1250000
1, 9936, Tempo, 1304347
1, 9960, Tempo, 1395348
1, 9984, Tempo, 1304347
1, 9996, Tempo, 1250000
1, 10008, Tempo, 1224489
1, 10020, Tempo, 1250000
1, 10032, Tempo, 1224489
1, 10044, Tempo, 1304347
1, 10056, Tempo, 1250000
1, 10068, Tempo, 1333333
1, 10080, Tempo, 1304347
1, 10104, Tempo, 1250000
1, 10152, Tempo, 1333333
1, 10176, Tempo, 1304347
1, 10188, Tempo, 1250000
1, 10200, Tempo, 1224489
1, 10212, Tempo, 1250000
1, 10224, Tempo, 1224489
1, 10236, Tempo, 1304347
1, 10248, Tempo, 1250000
1, 10260, Tempo, 1333333
1, 10272, Tempo, 1304347
1, 10296, Tempo, 1250000
1, 10344, Tempo, 1333333
1, 10368, Tempo, 1304347
1, 10392, Tempo, 1250000
1, 10440, Tempo, 1333333
1, 10464, Tempo, 1304347
1, 10488, Tempo, 1250000
1, 10512, Tempo, 1304347
1, 10536, Tempo, 1363636
1, 10548, Tempo, 1463414
1, 10560, Tempo, 1333333
1, 10584, Tempo, 1250000
1, 10608, Tempo, 1304347
1, 10650, Tempo, 1153846
1, 10656, Tempo, 1176470
1, 10704, Tempo, 1304347
1, 10746, Tempo, 1176470
1, 10752, Tempo, 1250000
1, 10800, Tempo, 1224489
1, 10842, Tempo, 1176470
1, 10848, Tempo, 1250000
1, 10896, Tempo, 1333333
1, 10938, Tempo, 1621621
1, 10944, Tempo, 1224489
1, 11016, Tempo, 1250000
1, 11064, Tempo, 1276595
1, 11088, Tempo, 1250000
1, 11100, Tempo, 1304347
1, 11112, Tempo, 1276595
1, 11124, Tempo, 1463414
1, 11136, Tempo, 1304347
1, 11160, Tempo, 1250000
1, 11208, Tempo, 1333333
1, 11232, Tempo, 1304347
1, 11256, Tempo, 1250000
1, 11304, Tempo, 1333333
1, 11328, Tempo, 1304347
1, 11352, Tempo, 1250000
1, 11400, Tempo, 1333333
1, 11424, Tempo, 1304347
1, 11448, Tempo, 1250000
1, 11496, Tempo, 1333333
1, 11520, Tempo, 1304347
1, 11544, Tempo, 1250000
1, 11592, Tempo, 1333333
1, 11616, Tempo, 1304347
1, 11640, Tempo, 1250000
1, 11688, Tempo, 1333333
1, 11712, Tempo, 1304347
1, 11736, Tempo, 1250000
1, 11760, Tempo, 1224489
1, 11784, Tempo, 1250000
1, 11808, Tempo, 1224489
1, 11832, Tempo, 1176470
1, 11880, Tempo, 1224489
1, 11904, Tempo, 1176470
1, 11928, Tempo, 1153846
1, 11952, Tempo, 1176470
1, 11976, Tempo, 1224489
1, 12000, Tempo, 1250000
1, 12024, Tempo, 1224489
1, 12048, Tempo, 1250000
1, 12072, Tempo, 1333333
1, 12096, Tempo, 1304347
1, 12120, Tempo, 1250000
1, 12144, Tempo, 1224489
1, 12168, Tempo, 1304347
1, 12192, Tempo, 1224489
1, 12216, Tempo, 1276595
1, 12240, Tempo, 1395348
1, 12264, Tempo, 1463414
1, 12272, Tempo, 1621621
1, 12280, Tempo, 2000000
1, 12288, Tempo, 1200000
1, 12312, Tempo, 1176470
1, 12360, Tempo, 1250000
1, 12384, Tempo, 1200000
1, 12408, Tempo, 1176470
1, 12456, Tempo, 1250000
1, 12480, Tempo, 1200000
1, 12504, Tempo, 1176470
1, 12552, Tempo, 1250000
1, 12576, Tempo, 1200000
1, 12600, Tempo, 1176470
1, 12648, Tempo, 1250000
1, 12672, Tempo, 1200000
1, 12696, Tempo, 1176470
1, 12744, Tempo, 1250000
1, 12768, Tempo, 1200000
1, 12792, Tempo, 1176470
1, 12840, Tempo, 1250000
1, 12864, Tempo, 1200000
1, 12888, Tempo, 1176470
1, 12936, Tempo, 1250000
1, 12960, Tempo, 1200000
1, 12984, Tempo, 1176470
1, 13032, Tempo, 1250000
1, 13056, Tempo, 1176470
1, 13080, Tempo, 1153846
1, 13128, Tempo, 1224489
1, 13152, Tempo, 1176470
1, 13176, Tempo, 1153846
1, 13224, Tempo, 1176470
1, 13248, Tempo, 1224489
1, 13272, Tempo, 1153846
1, 13320, Tempo, 1224489
1, 13344, Tempo, 1176470
1, 13368, Tempo, 1153846
1, 13416, Tempo, 1224489
1, 13440, Tempo, 1200000
1, 13464, Tempo, 1176470
1, 13512, Tempo, 1224489
1, 13536, Tempo, 1200000
1, 13560, Tempo, 1176470
1, 13608, Tempo, 1224489
1, 13632, Tempo, 1200000
1, 13656, Tempo, 1176470
1, 13704, Tempo, 1224489
1, 13728, Tempo, 1200000
1, 13752, Tempo, 1176470
1, 13800, Tempo, 1224489
1, 13824, Tempo, 1200000
1, 13848, Tempo, 1176470
1, 13896, Tempo, 1224489
1, 13920, Tempo, 1200000
1, 13944, Tempo, 1176470
1, 13992, Tempo, 1224489
1, 14016, Tempo, 1200000
1, 14040, Tempo, 1250000
1, 14064, Tempo, 1224489
1, 14088, Tempo, 1250000
1, 14136, Tempo, 1276595
1, 14160, Tempo, 1250000
1, 14172, Tempo, 1333333
1, 14184, Tempo, 1304347
1, 14196, Tempo, 1463414
1, 14208, Tempo, 1395348
1, 14220, Tempo, 1250000
1, 14232, Tempo, 1224489
1, 14256, Tempo, 1176470
1, 14280, Tempo, 1224489
1, 14304, Tempo, 1176470
1, 14328, Tempo, 1224489
1, 14352, Tempo, 1153846
1, 14376, Tempo, 1176470
1, 14400, Tempo, 1153846
1, 14424, Tempo, 1111111
1, 14472, Tempo, 1153846
1, 14496, Tempo, 1111111
1, 14520, Tempo, 1153846
1, 14544, Tempo, 1111111
1, 14568, Tempo, 1176470
1, 14592, Tempo, 1153846
1, 14616, Tempo, 1111111
1, 14664, Tempo, 1176470
1, 14688, Tempo, 1153846
1, 14712, Tempo, 1111111
1, 14760, Tempo, 1153846
1, 14772, Tempo, 1224489
1, 14784, Tempo, 1176470
1, 14808, Tempo, 1153846
1, 14856, Tempo, 1224489
1, 14880, Tempo, 1176470
1, 14904, Tempo, 1153846
1, 14952, Tempo, 1224489
1, 14976, Tempo, 1176470
1, 15000, Tempo, 1153846
1, 15024, Tempo, 1176470
1, 15048, Tempo, 1224489
1, 15072, Tempo, 1176470
1, 15084, Tempo, 1250000
1, 15096, Tempo, 1224489
1, 15108, Tempo, 1304347
1, 15120, Tempo, 1250000
1, 15126, Tempo, 1333333
1, 15132, Tempo, 1304347
1, 15138, Tempo, 1395348
1, 15144, Tempo, 1463414
1, 15150, Tempo, 1621621
1, 15156, Tempo, 1538461
1, 15162, Tempo, 2000000
1, 15168, Tempo, 1395348
1, 15192, Tempo, 1250000
1, 15240, Tempo, 1333333
1, 15264, Tempo, 1304347
1, 15288, Tempo, 1250000
1, 15336, Tempo, 1333333
1, 15360, Tempo, 1304347
1, 15384, Tempo, 1250000
1, 15432, Tempo, 1333333
1, 15456, Tempo, 1304347
1, 15480, Tempo, 1250000
1, 15528, Tempo, 1333333
1, 15552, Tempo, 1276595
1, 15576, Tempo, 1250000
1, 15624, Tempo, 1304347
1, 15648, Tempo, 1276595
1, 15672, Tempo, 1250000
1, 15720, Tempo, 1304347
1, 15744, Tempo, 1276595
1, 15768, Tempo, 1250000
1, 15816, Tempo, 1304347
1, 15828, Tempo, 1333333
1, 15840, Tempo, 1304347
1, 15864, Tempo, 1250000
1, 15888, Tempo, 1304347
1, 15912, Tempo, 1395348
1, 15936, Tempo, 1304347
1, 15948, Tempo, 1250000
1, 15960, Tempo, 1224489
1, 15972, Tempo, 1250000
1, 15984, Tempo, 1224489
1, 15996, Tempo, 1304347
1, 16008, Tempo, 1250000
1, 16020, Tempo, 1333333
1, 16032, Tempo, 1304347
